District Name,DistrictType,Virtual,Hybrid,In_Person,mean_proficient_english_2019,mean_proficient_math_2019,mean_proficient_english_2022,mean_proficient_math_2022,Unnamed: 0,NumberofSchools,GradesOffered,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
BIG BEAVER FALLS AREA SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,40.03333333333333,18.8,35.13333333333333,19.93333333333333,35.0,4.0,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2432962782830927,0.2143380593092081,-0.0569855641867556,-0.6712865319136594,1.5054177675354632,-0.5407284386654247,0.2094105835341369,1.4331536709941652,-0.3480083077153447,-1.4106440530833972,4.836399345114218,1.5587926045400278,-0.3365438429297024,1.886666820642092,0.2768481314971515,-0.2837895337813552,0.6514148655255912,-0.0132358400979653,2.440187396960388,40.756013,-80.320815
BIG SPRING SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,46.9,32.425,44.15,31.475,36.0,5.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1123631193385877,0.2143380593092081,-0.0440001339232502,1.020642911989927,-0.4924637909756968,-0.4027348360943131,-0.6837166060687205,-0.4703083633474882,-0.5123161990279876,0.6734482069949056,-0.1870043774927079,-0.2767950569202207,-0.4562241291482895,1.833918796017462,-0.0681748895245256,0.060595138779184,0.5333200361351206,-0.2962937347644517,-0.1806321745994818,40.1742,-77.384365
BLACKHAWK SCHOOL DISTRICT,Regular local school district,1.0,6.0,2.0,50.05,33.1,46.4,33.0,37.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1168424116182681,0.2143380593092081,-0.0716647462237617,-0.1957647940783325,0.1734967285280232,-0.425733769856165,-0.6837166060687205,-0.4015085307809224,-0.5382595502878788,0.6780590305791493,-0.3508110206211947,-0.7689873320751769,-0.5519683581231593,-0.4606202751539623,1.2429125903578464,-1.2480666169508643,-0.9428653312457602,2.8173431065668995,-0.9668780460674428,40.764179,-80.398366
BLACKLICK VALLEY SCHOOL DISTRICT,Regular local school district,1.0,6.0,2.0,33.1,18.85,42.15000000000001,24.05,38.0,2.0,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4172995553014481,-0.9109857772378106,-0.0854970523740175,-0.5603836646910522,-0.4924637909756968,-0.5177295049035728,-0.6837166060687205,-0.4473750858252996,-0.6939196578472246,0.8578811503646668,-0.6238220925020059,0.394902636232425,-0.5998404726105941,1.1745684882095813,-0.4822025147505391,0.4738567458518322,2.304742476992178,0.5528799492350076,0.4745727182904856,40.477653,-78.83636
BLAIRSVILLE-SALTSBURG SCHOOL DISTRICT,Regular local school district,1.0,8.0,0.0,44.0,32.925,41.66666666666666,29.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMSBURG AREA SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,44.975,31.6,45.975,27.875,40.0,5.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2591460817342697,-0.3238602973002356,-0.0818272568647659,-0.0602929774533651,-0.1594835312238368,-0.1957444322376457,0.2094105835341369,-0.164531329718307,0.0065508261698323,0.1339818476383536,0.0314044800119409,-0.0335941680201249,-0.1211193277362455,-1.3573366937726798,-0.3441933063418712,0.3361028768276194,-0.5295334283791135,-0.5793516294309382,0.0814497825565051,41.004807,-76.443188
BLUE MOUNTAIN SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,52.55,33.675,48.03333333333333,29.46666666666667,41.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.0939291088029797,0.4100465526217331,-0.0623491114695078,0.3173444998147885,-0.1594835312238368,-0.3797359023324612,-0.6837166060687205,-0.4626639375067587,-0.2096437676625926,0.6042858532312451,-0.7876287356304926,-0.8037303162037621,-0.5040962436357244,0.6734622542755925,-1.793289994632911,1.7825185015818807,-0.647628257769584,0.4585273176795122,-0.8358370674894492,40.656767,-76.063403
BLUE RIDGE SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,49.0,28.05,43.8,25.4,42.0,3.0,"K4H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3423575498529485,-1.0088400238940731,-0.0877553880720184,0.1932272574156131,-0.1594835312238368,-0.471731637379869,-0.6837166060687205,-0.4167973824623815,-0.4171905777417207,0.6872806777476376,-0.7057254140662493,-0.433138485498854,-0.4562241291482895,0.2514780572785485,1.794949423992528,-1.7990820930477254,-0.5885808430743488,0.1754694230130257,0.2124907611344986,41.899951,-75.738019
BOYERTOWN AREA SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,50.82222222222222,35.47777777777778,38.0,29.9,43.0,9.0,"PreKH, PreKF, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.6081138158007807,0.4589736759498644,-0.0231105287167415,0.0699909733615422,0.1734967285280232,-0.057750829666534,0.2094105835341369,-0.27919771732925,-0.1231659301296226,0.3322472617608469,-0.5146176637496814,-0.9137497659442816,-0.4801601863920069,1.0954464512726354,-0.0681748895245256,0.060595138779184,-0.647628257769584,-0.5793516294309382,-0.8358370674894492,40.338572,-75.626347
BOYS LATIN OF PHILADELPHIA CS,Charter agency,9.0,0.0,0.0,23.2,2.7,29.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,
