DistrictName,DistrictType,Virtual,Hybrid,In_Person
Maritime Academy CS,Charter agency,7,2,0
Marple Newtown SD,Regular local school district,1,6,2
Mars Area SD,Regular local school district,0,0,0
Mastery CHS-Lenfest Campus,Charter agency,7,2,0
Mastery CS John Wister Elementary,Charter agency,6,3,0
Mastery CS-Cleveland Elementary,Charter agency,8,1,0
Mastery CS-Clymer Elementary,Charter agency,9,0,0
Mastery CS-Francis D. Pastorius Elementary,Charter agency,6,3,0
Mastery CS-Gratz Campus,Charter agency,7,2,0
Mastery CS-Hardy Williams,Charter agency,7,2,0
Mastery CS-Harrity Campus,Charter agency,7,2,0
Mastery CS-Mann Campus,Charter agency,6,3,0
Mastery CS-Pickett Campus,Charter agency,7,2,0
Mastery CS-Shoemaker Campus,Charter agency,7,2,0
Mastery CS-Smedley Campus,Charter agency,9,0,0
Mastery CS-Thomas Campus,Charter agency,9,0,0
Mastery Prep Elementary CS,Charter agency,9,0,0
Math Civics and Sciences CS,Charter agency,9,0,0
McGuffey SD,Regular local school district,0,9,0
McKeesport Area SD,Regular local school district,0,9,0
McKeesport Area Tech Ctr,Specialized public school district,0,0,0
Mechanicsburg Area SD,Regular local school district,0,9,0
Memphis Street Academy CS @ JP Jones,Charter agency,9,0,0
Mercer Area SD,Regular local school district,0,2,7
Mercer County Career Center,Specialized public school district,0,0,0
Methacton SD,Regular local school district,5,4,0
Meyersdale Area SD,Regular local school district,1,8,0
Mid Valley SD,Regular local school district,0,9,0
Midd-West SD,Regular local school district,0,2,7
Middle Bucks Institute of Technology,Specialized public school district,0,0,0
Middletown Area SD,Regular local school district,0,9,0
Midland Borough SD,Regular local school district,2,7,0
Mifflin County Academy of Science and Technology,Specialized public school district,0,0,0
Mifflin County SD,Regular local school district,1,8,0
Mifflinburg Area SD,Regular local school district,0,0,9
Millcreek Township SD,Regular local school district,1,8,0
Millersburg Area SD,Regular local school district,0,6,3
Millville Area SD,Regular local school district,0,0,9
Milton Area SD,Regular local school district,0,7,2
Minersville Area SD,Regular local school district,0,9,0
Mohawk Area SD,Regular local school district,2,7,0
Mon Valley CTC,Specialized public school district,0,0,0
Monessen City SD,Regular local school district,2,7,0
Moniteau SD,Regular local school district,1,6,2
Monroe Career & Tech Inst,Specialized public school district,0,9,0
Montessori Regional CS,Charter agency,4,5,0
Montgomery Area SD,Regular local school district,0,7,2
Montour SD,Regular local school district,0,4,5
Montoursville Area SD,Regular local school district,0,5,4
Montrose Area SD,Regular local school district,0,9,0
Moon Area SD,Regular local school district,1,8,0
Morrisville Borough SD,Regular local school district,9,0,0
Moshannon Valley SD,Regular local school district,0,9,0
Mount Carmel Area SD,Regular local school district,1,8,0
Mount Pleasant Area SD,Regular local school district,0,7,2
Mount Union Area SD,Regular local school district,1,3,5
Mountain View SD,Regular local school district,0,7,2
Mt Lebanon SD,Regular local school district,2,5,2
Muhlenberg SD,Regular local school district,7,2,0
Multicultural Academy CS,Charter agency,9,0,0
Muncy SD,Regular local school district,0,9,0
Nazareth Area SD,Regular local school district,0,7,2
Neshaminy SD,Regular local school district,6,2,1
Neshannock Township SD,Regular local school district,0,9,0
New Brighton Area SD,Regular local school district,2,7,0
New Castle Area SD,Regular local school district,5,4,0
New Day CS,Charter agency,0,0,0
New Foundations CS,Charter agency,9,0,0
New Hope-Solebury SD,Regular local school district,2,4,3
New Kensington-Arnold SD,Regular local school district,1,6,2
Newport SD,Regular local school district,0,9,0
Nittany Valley CS,Charter agency,0,0,0
Norristown Area SD,Regular local school district,9,0,0
North Allegheny SD,Regular local school district,0,0,9
North Clarion County SD,Regular local school district,2,2,5
North East SD,Regular local school district,0,3,6
North Hills SD,Regular local school district,2,7,0
North Montco Tech Career Center,Specialized public school district,0,9,0
