StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,3/1/21,3/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,4/1/21,4/30/21,,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Alliance for Progress CS,Charter agency,4200039,126512990,540,Monthly,5/1/21,5/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,9/1/20,9/30/20,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Altoona Area SD,Regular local school district,4202340,108070502,7227,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,3/1/21,3/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,4/1/21,4/30/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Ambridge Area SD,Regular local school district,4202440,127040703,2240,Monthly,5/1/21,5/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Annville-Cleona SD,Regular local school district,4202490,113380303,1452,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Antietam SD,Regular local school district,4202480,114060503,1090,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,2/1/21,2/28/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,3/1/21,3/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,4/1/21,4/30/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Antonia Pantoja Community CS,Charter agency,4200813,104510394,698,Monthly,5/1/21,5/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Apollo-Ridge SD,Regular local school district,4202550,128030603,1119,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Apollo-Ridge SD,Regular local school district,4202550,128030603,1119,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Apollo-Ridge SD,Regular local school district,4202550,128030603,1119,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
